                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.58823,                0.50861,                0.95537,                0.93188,                0.77724,                0.86368,                0.61604,                  1.333,                 1.0241,                 1.5454,             0.00053773,             0.00053773,             0.00053773
                     65,                0.57195,                0.52544,                0.96407,                0.87948,                0.81908,                0.85017,                0.59665,                 1.3359,                0.95996,                 1.5522,             0.00052359,             0.00052359,             0.00052359
                     66,                0.55937,                0.49061,                0.95789,                0.91173,                0.84381,                0.88816,                0.63165,                 1.2727,                0.95008,                 1.4446,             0.00050944,             0.00050944,             0.00050944
                     67,                0.53859,                0.47373,                0.93796,                0.81019,                0.84812,                 0.8735,                0.60115,                 1.3375,                0.99045,                 1.4998,             0.00049529,             0.00049529,             0.00049529
                     68,                0.56442,                0.48622,                0.94257,                0.87281,                0.83678,                0.87832,                0.56236,                 1.3924,                0.96616,                 1.5882,             0.00048114,             0.00048114,             0.00048114
                     69,                0.58628,                0.51916,                0.95324,                0.92549,                0.73371,                0.81107,                 0.5435,                 1.3605,                 0.9272,                   1.61,               0.000467,               0.000467,               0.000467
                     70,                0.54323,                0.49708,                0.94778,                0.82368,                0.79676,                0.85084,                 0.5764,                 1.3504,                0.99933,                 1.5936,             0.00045285,             0.00045285,             0.00045285
                     71,                0.50949,                0.47506,                0.93307,                0.86107,                  0.842,                0.88369,                0.59004,                 1.3161,                0.91818,                 1.5185,              0.0004387,              0.0004387,              0.0004387
                     72,                0.53441,                0.46754,                0.93479,                0.83167,                0.84188,                 0.8866,                0.57133,                  1.339,                0.96578,                 1.5502,             0.00042456,             0.00042456,             0.00042456
                     73,                0.53634,                0.47453,                0.95431,                0.77622,                0.87847,                0.88027,                0.57153,                  1.447,                  1.036,                 1.6374,             0.00041041,             0.00041041,             0.00041041
                     74,                 0.5387,                0.46662,                0.94633,                 0.8139,                0.80507,                0.87431,                0.56817,                 1.4679,                 1.0213,                   1.66,             0.00039626,             0.00039626,             0.00039626
                     75,                0.52737,                0.45289,                0.94589,                0.77322,                0.86988,                0.88178,                0.61745,                 1.4306,                 1.0306,                 1.5857,             0.00038211,             0.00038211,             0.00038211
                     76,                0.53476,                0.45081,                0.94311,                 0.7981,                0.83789,                0.88746,                0.62266,                  1.353,                 1.0025,                 1.5465,             0.00036797,             0.00036797,             0.00036797
                     77,                0.53846,                0.45781,                0.96337,                0.79779,                0.81866,                0.87146,                0.58554,                 1.3365,                 1.0296,                 1.5662,             0.00035382,             0.00035382,             0.00035382
                     78,                0.51623,                0.45633,                0.92944,                0.81658,                0.79251,                0.83289,                0.55454,                 1.3828,                0.97204,                 1.5864,             0.00033967,             0.00033967,             0.00033967
                     79,                0.49788,                 0.4436,                0.92707,                 0.8555,                0.83918,                0.88712,                 0.5854,                 1.3775,                0.86548,                 1.5789,             0.00032553,             0.00032553,             0.00032553
                     80,                0.51758,                0.45433,                0.93606,                0.85467,                0.79448,                0.87231,                0.61899,                 1.3426,                0.89137,                 1.5518,             0.00031138,             0.00031138,             0.00031138
                     81,                0.49302,                0.42881,                0.92565,                0.87379,                0.81302,                0.90817,                0.63799,                 1.3172,                0.94452,                 1.5208,             0.00029723,             0.00029723,             0.00029723
                     82,                0.49021,                0.43209,                0.92601,                 0.8161,                0.84113,                0.86778,                0.61885,                 1.3079,                0.96945,                 1.5404,             0.00028308,             0.00028308,             0.00028308
                     83,                0.46919,                0.41686,                0.91102,                0.84657,                 0.8372,                0.89005,                0.61422,                 1.3653,                 1.0123,                 1.5586,             0.00026894,             0.00026894,             0.00026894
                     84,                0.50246,                0.44543,                0.93127,                0.88932,                0.85488,                0.90369,                0.63469,                 1.3046,                0.96071,                 1.5044,             0.00025479,             0.00025479,             0.00025479
                     85,                0.46299,                0.41501,                0.91637,                0.85261,                0.85041,                0.89904,                0.63873,                 1.3308,                 0.9518,                 1.5042,             0.00024064,             0.00024064,             0.00024064
                     86,                0.47644,                0.42632,                0.92643,                0.83418,                0.82359,                0.90777,                0.64207,                  1.323,                0.99157,                 1.5038,              0.0002265,              0.0002265,              0.0002265
                     87,                0.47946,                0.42219,                0.93182,                0.85306,                0.82735,                0.90978,                0.61319,                 1.3578,                0.97074,                 1.5282,             0.00021235,             0.00021235,             0.00021235
                     88,                0.47756,                0.41487,                0.92725,                0.87178,                0.82155,                0.89811,                0.63382,                 1.3232,                 0.9336,                 1.5143,              0.0001982,              0.0001982,              0.0001982
                     89,                0.46169,                0.39276,                0.90908,                0.86107,                0.84914,                0.90851,                0.64415,                 1.3689,                0.90603,                 1.5606,             0.00018406,             0.00018406,             0.00018406
                     90,                0.38393,                0.35438,                 0.8333,                0.87324,                0.86477,                0.91015,                0.61725,                 1.3726,                0.93678,                  1.563,             0.00016991,             0.00016991,             0.00016991
                     91,                0.37402,                0.32514,                0.83904,                0.84792,                0.87211,                0.91328,                0.62269,                 1.2978,                0.96865,                 1.5017,             0.00015576,             0.00015576,             0.00015576
                     92,                0.36391,                0.31507,                0.83115,                0.83039,                 0.8577,                0.88837,                0.63986,                 1.2348,                0.95495,                 1.4518,             0.00014161,             0.00014161,             0.00014161
                     93,                0.34237,                0.29313,                0.83319,                0.84079,                0.87581,                0.90641,                0.64681,                 1.2303,                0.91944,                 1.4447,             0.00012747,             0.00012747,             0.00012747
                     94,                 0.3396,                 0.2923,                0.82428,                0.83681,                0.89376,                0.90689,                0.64051,                 1.2558,                 0.8934,                 1.4619,             0.00011332,             0.00011332,             0.00011332
                     95,                0.33254,                0.29226,                0.83455,                0.82086,                 0.9043,                0.91524,                 0.6318,                 1.2556,                0.88199,                 1.4719,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.32277,                0.28673,                0.81501,                0.82529,                0.90492,                0.91444,                0.63097,                 1.2317,                0.86258,                 1.4737,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.32406,                0.28651,                0.83908,                0.82468,                0.89967,                0.90648,                0.62823,                 1.2459,                0.85917,                 1.4914,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.32103,                0.27573,                0.82606,                0.86849,                0.83698,                 0.9044,                0.63521,                 1.2552,                0.88168,                 1.4966,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.31305,                0.27302,                0.82577,                0.84511,                0.85448,                0.90582,                0.63878,                 1.2566,                0.89011,                 1.4947,             4.2584e-05,             4.2584e-05,             4.2584e-05
